Recensement agricole 2020; ; 
Référentiel géographique : France  par Commune 2020; ; 
Code;Libellé;SAU moyenne en 2020;SAU moyenne en 2020 - estimation (*=oui)
02423;Leuilly-sous-Coucy;89.8;
02424;Leury;181.2;
02425;Leuze;61.5;
02426;Levergies;185.7;
02427;Lhuys;157.2;
02428;Licy-Clignon;194.8;
02429;Lierval;247.4;
02430;Liesse-Notre-Dame;26.8;
02431;Liez;127.3;
02432;Limé;290.1;
02433;Lislet;119.9;
02435;Logny-lès-Aubenton;131;
02438;Longpont;162.7;
02439;Les Septvallons;156.3;
02440;Lor;113.8;
02441;Louâtre;217.1;
02442;Loupeigne;198.5;
02443;Lucy-le-Bocage;116.7;
02444;Lugny;183.8;
02445;Luzoir;60.5;
02446;Ly-Fontaine;132.1;
02447;Maast-et-Violaine;262.5;
02448;Mâchecourt;134.9;
02449;Macogny;272.6;
02450;Macquigny;153.6;
02451;Magny-la-Fosse;139.4;
02452;Maissemy;108.9;*
02453;Maizy;60.1;
02454;La Malmaison;178.3;
02455;Malzy;133.3;
02456;Manicamp;103.3;
02457;Marchais;287.3;
02458;Dhuys et Morin-en-Brie;97.8;
02459;Marcy;216.5;
